doy,DO_mgL,bottom_temp,top_temp,temp_diff
157.29,0,22.23777778,24.73777778,2.5
157.31,0,22.33277778,24.73777778,2.405
157.33,0,22.23777778,24.64111111,2.403333333
157.35,0,22.23777778,24.545,2.307222222
157.38,0,22.33277778,24.545,2.212222222
157.4,0,22.42888889,24.44777778,2.018888889
157.42,0,22.42888889,24.44777778,2.018888889
157.44,0,22.525,24.35111111,1.826111111
157.46,0,22.90777778,24.73777778,1.83
157.48,0,22.62111111,25.22222222,2.601111111
157.5,0,22.23777778,25.31888889,3.081111111
157.52,0,22.14222222,25.41611111,3.273888889
157.54,0,22.33277778,25.41611111,3.083333333
157.56,0,22.33277778,26.09722222,3.764444444
157.58,0,22.33277778,26.39,4.057222222
157.6,0,22.23777778,27.76388889,5.526111111
157.63,0,22.33277778,28.35722222,6.024444444
157.65,0,22.42888889,28.655,6.226111111
157.67,0,22.525,28.555,6.03
157.69,0,22.525,28.35722222,5.832222222
157.71,0,22.525,28.06,5.535
157.73,0,22.62111111,25.70777778,3.086666667
157.75,0,21.855,25.51277778,3.657777778
157.77,0,22.42888889,26,3.571111111
157.79,0,22.81222222,25.90222222,3.09
157.81,0,22.71722222,25.805,3.087777778
157.83,0,22.90777778,25.90222222,2.994444444
157.85,0,22.90777778,25.90222222,2.994444444
157.88,0,23.00388889,25.61,2.606111111
157.9,0,22.42888889,25.41611111,2.987222222
157.92,0,22.33277778,25.41611111,3.083333333
157.94,0,22.33277778,25.51277778,3.18
157.96,0,22.71722222,25.31888889,2.601666667
157.98,0,22.90777778,25.125,2.217222222
158,0,22.62111111,24.93111111,2.31
158.02,0,22.525,24.73777778,2.212777778
158.04,0,22.42888889,24.73777778,2.308888889
158.06,0,22.42888889,24.64111111,2.212222222
158.08,0,22.525,24.64111111,2.116111111
158.1,0,22.71722222,24.64111111,1.923888889
158.13,0,22.525,24.64111111,2.116111111
158.15,0,22.62111111,24.64111111,2.02
158.17,0,22.62111111,24.64111111,2.02
158.19,0,22.71722222,24.545,1.827777778
158.21,0,22.90777778,24.545,1.637222222
158.23,0,22.90777778,24.545,1.637222222
158.25,0,22.90777778,24.545,1.637222222
158.27,0,22.81222222,24.44777778,1.635555556
158.29,0,22.81222222,24.44777778,1.635555556
158.31,0,22.71722222,24.44777778,1.730555556
158.33,0,22.81222222,24.44777778,1.635555556
158.35,0,22.62111111,24.545,1.923888889
158.38,0,22.525,24.73777778,2.212777778
158.4,0,22.62111111,24.93111111,2.31
158.42,0,22.62111111,25.22222222,2.601111111
158.44,0,22.62111111,25.31888889,2.697777778
158.46,0,22.62111111,25.22222222,2.601111111
158.48,0,22.525,25.805,3.28
158.5,0,22.62111111,25.70777778,3.086666667
158.52,0,22.62111111,26.29222222,3.671111111
158.54,0,22.71722222,26.87888889,4.161666667
158.56,0,22.81222222,26.87888889,4.066666667
158.58,0,22.71722222,26.87888889,4.161666667
158.6,0,22.42888889,26.39,3.961111111
158.63,0,22.42888889,26.09722222,3.668333333
158.65,0,22.525,26.195,3.67
158.67,0,22.62111111,26,3.378888889
158.69,0,22.62111111,25.90222222,3.281111111
158.71,0,22.525,25.70777778,3.182777778
158.73,0,22.62111111,25.805,3.183888889
158.75,0,22.62111111,26.09722222,3.476111111
158.77,0,22.62111111,26,3.378888889
158.79,0,22.62111111,25.90222222,3.281111111
158.81,0,22.42888889,25.805,3.376111111
158.83,0,22.525,26,3.475
158.85,0,22.62111111,26,3.378888889
158.88,0,22.81222222,25.70777778,2.895555556
158.9,0,22.90777778,25.70777778,2.8
158.92,0,22.525,25.61,3.085
158.94,0,22.62111111,25.61,2.988888889
158.96,0,22.71722222,25.51277778,2.795555556
158.98,0,22.71722222,25.41611111,2.698888889
159,0,22.525,25.31888889,2.793888889
159.02,0,22.42888889,25.22222222,2.793333333
159.04,0,22.33277778,25.22222222,2.889444444
159.06,0,22.23777778,25.125,2.887222222
159.08,0,22.33277778,25.02777778,2.695
159.1,0,22.42888889,25.02777778,2.598888889
159.13,0,22.42888889,24.93111111,2.502222222
159.15,0,22.42888889,24.835,2.406111111
159.17,0,22.62111111,24.835,2.213888889
159.19,0,22.71722222,24.73777778,2.020555556
159.21,0,22.62111111,24.64111111,2.02
159.23,0,22.62111111,24.545,1.923888889
159.25,0,22.62111111,24.545,1.923888889
159.27,0,22.62111111,24.545,1.923888889
159.29,0,22.62111111,24.545,1.923888889
159.31,0,22.525,24.545,2.02
159.33,0,22.42888889,24.73777778,2.308888889
159.35,0,22.525,24.73777778,2.212777778
159.38,0,22.62111111,25.02777778,2.406666667
159.4,0,22.62111111,25.22222222,2.601111111
159.42,0,22.14222222,25.51277778,3.370555556
159.44,0,22.33277778,26,3.667222222
159.46,0,22.62111111,25.61,2.988888889
159.48,0,22.62111111,26.29222222,3.671111111
159.5,0,22.42888889,26.585,4.156111111
159.52,0,22.71722222,27.76388889,5.046666667
159.54,0,22.42888889,29.45222222,7.023333333
159.56,0,22.42888889,29.75222222,7.323333333
159.58,0,22.81222222,28.555,5.742777778
159.6,0,22.90777778,26.78111111,3.873333333
159.63,0,22.23777778,26.78111111,4.543333333
159.65,0,22.33277778,26.48777778,4.155
159.67,0,22.14222222,26.09722222,3.955
159.69,0,22.42888889,27.075,4.646111111
159.71,0,22.62111111,26.97722222,4.356111111
159.73,0,22.42888889,27.075,4.646111111
159.75,0,22.23777778,26.97722222,4.739444444
159.77,0,22.23777778,27.17277778,4.935
159.79,0,22.42888889,27.075,4.646111111
159.81,0,22.62111111,27.075,4.453888889
159.83,0,22.71722222,27.075,4.357777778
159.85,0,22.90777778,26.97722222,4.069444444
159.88,0,23.00388889,27.075,4.071111111
159.9,0,23.1,26.78111111,3.681111111
159.92,0,22.90777778,26.585,3.677222222
159.94,0,22.81222222,26.48777778,3.675555556
159.96,0,22.62111111,26.29222222,3.671111111
159.98,0,22.14222222,26.195,4.052777778
