year,doy,siteID,lake,site,name,TSS,TFSS
2008,192,22400004,Briggs Woods Lake,max depth,Briggs Woods Lake,9,1
2008,164,22400004,Briggs Woods Lake,max depth,Briggs Woods Lake,3,1
2008,127,22400004,Briggs Woods Lake,max depth,Briggs Woods Lake,1,1
2010,154,22410002,Eldred Sherwood,max depth,Eldred Sherwood Lake,2,1
2010,189,22410002,Eldred Sherwood,max depth,Eldred Sherwood Lake,7,1
2010,217,22410002,Eldred Sherwood,max depth,Eldred Sherwood Lake,4,2
2010,244,22410002,Eldred Sherwood,max depth,Eldred Sherwood Lake,33,1
2010,125,22410002,Eldred Sherwood,max depth,Eldred Sherwood Lake,13,7
2010,125,22420001,Lower Pine,max depth,Lower Pine Lake,19,12
2009,258,22420001,Lower Pine,max depth,Lower Pine Lake,19,NA
2009,229,22420001,Lower Pine,max depth,Lower Pine Lake,15,NA
2009,188,22420001,Lower Pine,max depth,Lower Pine Lake,12,NA
2010,260,22420001,Lower Pine,max depth,Lower Pine Lake,17,6
2010,215,22420001,Lower Pine,max depth,Lower Pine Lake,14,7
2010,187,22420001,Lower Pine,max depth,Lower Pine Lake,10,4
2010,152,22420001,Lower Pine,max depth,Lower Pine Lake,15,7
2009,167,22420001,Lower Pine,max depth,Lower Pine Lake,14,NA
2009,139,22420001,Lower Pine,max depth,Lower Pine Lake,16,NA
2010,187,22420002,Upper Pine,max depth,Upper Pine Lake,14,4
2010,215,22420002,Upper Pine,max depth,Upper Pine Lake,9,3
2010,260,22420002,Upper Pine,max depth,Upper Pine Lake,9,2
2010,125,22420002,Upper Pine,max depth,Upper Pine Lake,16,8
2010,152,22420002,Upper Pine,max depth,Upper Pine Lake,8,3
2012,192,22430001,DeSoto Bend,max depth,DeSoto Bend Lake,22,NA
2012,226,22430001,DeSoto Bend,max depth,DeSoto Bend Lake,28,NA
2012,254,22430001,DeSoto Bend,max depth,DeSoto Bend Lake,40,NA
2012,158,22430001,DeSoto Bend,max depth,DeSoto Bend Lake,21,NA
2012,130,22430001,DeSoto Bend,max depth,DeSoto Bend Lake,58,NA
2012,129,22480001,Lake Iowa,max depth,Lake Iowa,5,NA
2012,257,22480001,Lake Iowa,max depth,Lake Iowa,12,NA
2012,222,22480001,Lake Iowa,max depth,Lake Iowa,8,NA
2012,164,22480001,Lake Iowa,max depth,Lake Iowa,11,NA
2012,191,22480001,Lake Iowa,max depth,Lake Iowa,15,NA
2010,125,22350001,Beeds Lake,max depth,Beeds Lake,33,22
2010,244,22350001,Beeds Lake,max depth,Beeds Lake,12,3
2010,216,22350001,Beeds Lake,max depth,Beeds Lake,8,2
2010,189,22350001,Beeds Lake,max depth,Beeds Lake,11,7
2010,154,22350001,Beeds Lake,max depth,Beeds Lake,3,1
2005,237,22300007,Silver Lake,max depth,Silver Lake Max Depth,10,NA
2005,256,22300007,Silver Lake,max depth,Silver Lake Max Depth,24,NA
2005,221,22300007,Silver Lake,max depth,Silver Lake Max Depth,13,NA
2005,214,22300007,Silver Lake,max depth,Silver Lake Max Depth,23,NA
2005,271,22300007,Silver Lake,max depth,Silver Lake Max Depth,25,NA
2005,172,22300007,Silver Lake,max depth,Silver Lake Max Depth,6,NA
2005,159,22300007,Silver Lake,max depth,Silver Lake Max Depth,12,NA
2005,193,22300007,Silver Lake,max depth,Silver Lake Max Depth,9,NA
2005,131,22300007,Silver Lake,max depth,Silver Lake Max Depth,29,NA
2005,144,22300007,Silver Lake,max depth,Silver Lake Max Depth,17,NA
2005,90,22300007,Silver Lake,max depth,Silver Lake Max Depth,26,NA
2012,130,22280003,Backbone Lake,max depth,Backbone Lake,6,NA
2012,256,22280003,Backbone Lake,max depth,Backbone Lake,14,NA
2012,193,22280003,Backbone Lake,max depth,Backbone Lake,44,NA
2012,221,22280003,Backbone Lake,max depth,Backbone Lake,12,NA
2012,163,22280003,Backbone Lake,max depth,Backbone Lake,8,NA
2005,90,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,320,NA
2005,159,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,240,NA
2005,143,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,57,NA
2005,131,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,69,NA
2005,173,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,61,NA
2005,193,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,44,NA
2005,208,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,83,NA
2005,222,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,110,NA
2005,236,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,280,NA
2005,256,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,99,NA
2005,270,22210001,Trumball Lake,max depth,Trumbull Lake Max Depth,170,NA
