lakeID,lakeName,County,siteID,latitude,longitude,surfaceArea_km2,maxDepth_m,meanDepth_m,volume_m3,watershedArea_km2
21,Clear Lake,Cerro Gordo,22170001,43.12523923,-93.41469015,14.91,5.85,3.08,45306213.79,48.88
22,Cold Springs Lake,Cass,22150001,41.29207916,-95.08743176,0.06,4.27,2.1,126555.048,0.04
24,Crawford Creek Impoundment,Ida,22470001,42.27584708,-95.60691838,0.25,9.75,2.9,741444.828,9.58
25,Crystal Lake,Hancock,22410001,43.23026848,-93.79239214,1.07,5.61,2.29,2445990.84,7.41
26,Dale Maffitt Reservoir,Madison,22250002,,,0.81,21.9,,,
28,DeSoto Bend,Harrison,22430001,41.53772766,-95.99849066,3.28,7.92,1.92,6909091.524,65.85
29,Diamond Lake,Poweshiek,22790005,41.58482817,-92.55604939,0.4,6.71,2.19,880828.068,11.04
30,Dog Creek Lake,Obrien,22710002,42.93639931,-95.46741722,0.01,6.1,2.01,312070.44,11.6
31,Don Williams Lake,Boone,22080004,42.11233304,-94.02007623,0.6,14.02,4.36,2769162.6,78.46
32,East Lake (Osceola),Clarke,22200001,41.03245019,-93.74270229,0.05,4.66,2.01,111383.244,1
33,East Okoboji Lake,Dickinson,22300008,43.38351301,-95.10813137,7.43,6.71,2.8,21253723.84,49.42
34,Easter Lake,Polk,22770001,41.54551561,-93.55679273,0.72,8.02,2.19,1650396,
35,Eldred Sherwood Lake,Hancock,22410002,42.94156951,-93.56489107,0.08,6.4,2.41,217092.48,7.78
36,Five Island Lake,Palo Alto,22740001,43.14529073,-94.65831672,3.93,7.59,1.73,7020968.16,34.11
37,Fogle Lake S.W.A.,Ringgold,22800001,40.81422086,-94.35080842,0.18,7.32,2.74,447999.936,2.23
38,George Wyth Lake,Black Hawk,22070001,42.53496816,-92.40055137,0.3,5.7,3.51,1062643.02,2.63
39,Green Belt Lake,Black Hawk,22070002,42.47909562,-92.38854147,0.08,5.67,3.57,296775.288,
40,Green Castle Lake,Marshall,22640001,41.93011065,-92.86009826,0.06,7.62,2.47,194026.404,1.11
41,Green Valley Lake,Union,22880001,41.09831537,-94.38404825,1.37,7.13,3.2,5003241.576,20.04
42,Greenfield Lake,Adair,22010001,41.29722605,-94.47990159,0.23,7.92,3.26,719735.58,3.88
43,Hannen Lake,Benton,22060001,41.86379447,-92.11295184,0.15,6.71,2.5,378678.36,2.35
44,Hawthorne Lake,Mahaska,22620001,41.47627604,-92.45834028,0.73,8.53,2.97,2215823.472,12.56
45,Hickory Grove Lake,Story,22850001,41.99021654,-93.36385207,0.41,11.09,3.87,1500281.724,16.11
46,Hooper Area Pond,Warren,22910001,41.27754605,-93.59019954,0.14,7.01,2.56,350308.32,5.71
47,Indian Lake,Van Buren,22890001,40.6294904,-91.75106047,0.22,2.44,1.58,351788.496,1.5
48,Ingham Lake,Emmet,22320001,43.31663598,-94.70008898,1.53,3.66,2.13,2708475.384,2.79
49,Kent Park Lake,Johnson,22520005,41.72324457,-91.73028728,0.11,5.43,2.29,243488.95,
50,Lacey Keosauqua Park Lake,Van Buren,22890004,40.71154,-91.96996946,0.09,8.53,3.41,279383.22,2.93
51,Lake Ahquabi,Warren,22910002,41.292605,-93.59563808,0.48,5.33,3.2,1546783.92,13.44
52,Lake Anita,Cass,22150002,41.42800752,-94.78193672,0.65,10.12,3.99,2582907.12,9.78
53,Lake Cornelia,Wright,22990001,42.79106551,-93.68964475,0.99,6.28,2.87,2830836.6,2.02
54,Lake Darling,Washington,22920004,41.20150406,-91.90523723,1.23,7.32,2.71,3274272.66,49.29
55,Geode Lake,Henry,22290001,40.81127815,-91.38650939,0.7,13.41,7.04,4958836.296,39.94
56,Lake Hendricks,Howard,22450001,43.37150133,-92.54782795,0.2,5.64,2.35,467242.224,4.54
57,Lake Icaria,Adams,22020001,41.04823409,-94.75133826,2.62,9.14,3.38,8818765.26,67.95
58,Iowa Lake,Iowa,22480001,41.63484816,-92.17351172,0.43,9.75,3.54,1190308.2,5.39
59,Lake Keomah,Mahaska,22620002,41.29513585,-92.53733266,0.32,5.76,2.83,894026.304,8.59
60,Lake Manawa,Pottawattamie,22780003,41.20517524,-95.85738498,3.02,3.38,2.01,6275206.152,10.08
61,Lake MacBride,Johnson,22520001,41.79349895,-91.57311387,3.8,14.33,4.66,16686517.44,65.58
62,Lake Meyer,Winneshiek,22960004,43.17490034,-91.91294107,0.13,8.23,3.75,507083.628,6.26
63,Lake Miami,Monroe,22680001,41.12194485,-92.84376926,0.55,6.1,2.53,1392598.92,15.78
64,Minnewashta Lake,Dickinson,22300011,43.36081733,-95.12398024,0.48,4.57,2.93,1453409.484,1.19
65,Lake of the Hills,Scott,22820001,41.52117748,-90.67690858,0.22,6.8,2.99,662995.5,6.33
66,Lake of Three Fires,Taylor,22870001,40.70991093,-94.68960882,0.39,8.47,3.02,1183770.756,14.66
67,Orient Lake,Adair,22010002,41.19674409,-94.43609944,0.06,4.84,1.31,138149.76,2.03
