facilityID,siteID,name,county,huc8,type,aquifer,latitude,longitude,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,5/10/2003 14:30,TMDL,TSS,Total suspended solids,NonFilt,,1310,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,5/10/2003 8:30,TMDL,TSS,Total suspended solids,NonFilt,,1450,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,5/2/2003 11:48,TMDL,TSS,Total suspended solids,NonFilt,,160,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,5/1/2003 20:48,TMDL,TSS,Total suspended solids,NonFilt,,180,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070002,Wolf Creek at La Porte City,Black Hawk,7080205,River/Stream,,42.3157478,-92.1937977,3/13/2003 13:10,TMDL,TSS,Total suspended solids,NonFilt,,1,mg/l,FALSE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,4/21/2003 13:28,TMDL,TSS,Total suspended solids,NonFilt,,130,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,4/22/2003 10:33,TMDL,TSS,Total suspended solids,NonFilt,,170,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,5/8/2003 9:07,TMDL,TSS,Total suspended solids,NonFilt,,79,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,5/8/2003 13:07,TMDL,TSS,Total suspended solids,NonFilt,,51,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,5/7/2003 12:45,TMDL,TSS,Total suspended solids,NonFilt,,350,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,7/8/2003 2:10,TMDL,TSS,Total suspended solids,NonFilt,,200,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,5/28/2004 7:50,TMDL,TSS,Total suspended solids,NonFilt,,22,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,7/8/2004 13:40,TMDL,TSS,Total suspended solids,NonFilt,,150,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,7/9/2004 13:26,TMDL,TSS,Total suspended solids,NonFilt,,110,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,7/14/2004 9:15,TMDL,TSS,Total suspended solids,NonFilt,,76,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070003,West Fork Cedar River at Finchford,Black Hawk,7080204,River/Stream,,42.6289729,-92.543666,5/23/2004 3:55,TMDL,TSS,Total suspended solids,NonFilt,,580,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070004,Black Hawk Creek at Waterloo,Black Hawk,7080205,River/Stream,,42.4694746,-92.4136047,8/6/2004 11:07,TMDL,TSS,Total suspended solids,NonFilt,,250,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070004,Black Hawk Creek at Waterloo,Black Hawk,7080205,River/Stream,,42.4694746,-92.4136047,8/5/2004 10:10,TMDL,TSS,Total suspended solids,NonFilt,,300,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070004,Black Hawk Creek at Waterloo,Black Hawk,7080205,River/Stream,,42.4694746,-92.4136047,5/24/2004 14:15,TMDL,TSS,Total suspended solids,NonFilt,,95,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070004,Black Hawk Creek at Waterloo,Black Hawk,7080205,River/Stream,,42.4694746,-92.4136047,11/4/2003 22:25,TMDL,TSS,Total suspended solids,NonFilt,,94,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070004,Black Hawk Creek at Waterloo,Black Hawk,7080205,River/Stream,,42.4694746,-92.4136047,11/5/2003 2:25,TMDL,TSS,Total suspended solids,NonFilt,,110,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070004,Black Hawk Creek at Waterloo,Black Hawk,7080205,River/Stream,,42.4694746,-92.4136047,5/1/2003 22:00,TMDL,TSS,Total suspended solids,NonFilt,,310,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10070004,Black Hawk Creek at Waterloo,Black Hawk,7080205,River/Stream,,42.4694746,-92.4136047,5/3/2003 10:40,TMDL,TSS,Total suspended solids,NonFilt,,200,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10070004,Black Hawk Creek at Waterloo,Black Hawk,7080205,River/Stream,,42.4694746,-92.4136047,5/6/2003 2:00,TMDL,TSS,Total suspended solids,NonFilt,,470,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10070004,Black Hawk Creek at Waterloo,Black Hawk,7080205,River/Stream,,42.4694746,-92.4136047,5/7/2003 0:40,TMDL,TSS,Total suspended solids,NonFilt,,210,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10070004,Black Hawk Creek at Waterloo,Black Hawk,7080205,River/Stream,,42.4694746,-92.4136047,3/13/2003 12:15,TMDL,TSS,Total suspended solids,NonFilt,,7,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10120001,Shell Rock River at Shell Rock,Butler,7080202,River/Stream,,42.7115435,-92.5814295,5/8/2003 10:20,TMDL,TSS,Total suspended solids,NonFilt,,110,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10120001,Shell Rock River at Shell Rock,Butler,7080202,River/Stream,,42.7115435,-92.5814295,6/8/2003 16:10,TMDL,TSS,Total suspended solids,NonFilt,,100,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10120001,Shell Rock River at Shell Rock,Butler,7080202,River/Stream,,42.7115435,-92.5814295,6/9/2003 16:30,TMDL,TSS,Total suspended solids,NonFilt,,110,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10120001,Shell Rock River at Shell Rock,Butler,7080202,River/Stream,,42.7115435,-92.5814295,5/6/2003 18:40,TMDL,TSS,Total suspended solids,NonFilt,,140,mg/l,TRUE,1,,,I3765,UHL001,Actual,SW,Water,,
6,10120001,Shell Rock River at Shell Rock,Butler,7080202,River/Stream,,42.7115435,-92.5814295,6/27/2003 2:50,TMDL,TSS,Total suspended solids,NonFilt,,120,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
6,10120001,Shell Rock River at Shell Rock,Butler,7080202,River/Stream,,42.7115435,-92.5814295,6/28/2003 9:55,TMDL,TSS,Total suspended solids,NonFilt,,120,mg/l,TRUE,1,,,I3765,UHL002,Actual,SW,Water,,
